,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[3352],0.9,0.01,0.88,0.93,0.0,0.0,11613.42,6080.02,1.0
p[3353],0.88,0.01,0.86,0.89,0.0,0.0,9389.47,6311.06,1.0
p[3354],0.85,0.01,0.83,0.87,0.0,0.0,9104.05,7393.63,1.0
p[3355],0.84,0.02,0.81,0.87,0.0,0.0,10353.95,7265.65,1.0
p[3356],0.88,0.01,0.86,0.89,0.0,0.0,9387.28,6250.87,1.0
p[3357],0.85,0.01,0.83,0.87,0.0,0.0,9100.38,7393.21,1.0
p[3358],0.89,0.02,0.85,0.93,0.0,0.0,10482.19,5789.26,1.0
p[3359],0.88,0.01,0.86,0.89,0.0,0.0,9383.82,6200.47,1.0
p[3360],0.94,0.01,0.92,0.97,0.0,0.0,10597.7,7061.34,1.0
p[3361],0.88,0.01,0.86,0.89,0.0,0.0,9381.65,6182.09,1.0
p[3362],0.94,0.01,0.92,0.97,0.0,0.0,11060.09,6069.76,1.0
p[3363],0.83,0.03,0.78,0.88,0.0,0.0,11493.05,7060.47,1.0
p[3364],0.73,0.02,0.69,0.77,0.0,0.0,9575.3,6712.34,1.0
p[3365],0.89,0.01,0.87,0.91,0.0,0.0,10037.65,6378.27,1.0
p[3366],0.93,0.01,0.92,0.95,0.0,0.0,9237.95,6735.43,1.0
p[3367],0.85,0.01,0.83,0.87,0.0,0.0,9082.2,7412.58,1.0
p[3368],0.85,0.01,0.83,0.87,0.0,0.0,9079.3,7463.59,1.0
p[3369],0.91,0.01,0.88,0.93,0.0,0.0,11586.11,6205.8,1.0
p[3370],0.91,0.01,0.88,0.93,0.0,0.0,11586.11,6205.8,1.0
p[3371],0.89,0.01,0.87,0.91,0.0,0.0,10032.79,6432.57,1.0
p[3372],0.88,0.01,0.86,0.89,0.0,0.0,9379.61,6369.17,1.0
p[3373],0.73,0.02,0.7,0.77,0.0,0.0,9579.75,6623.89,1.0
p[3374],0.86,0.02,0.82,0.91,0.0,0.0,10405.9,6648.26,1.0
p[3375],0.92,0.01,0.89,0.94,0.0,0.0,11012.91,6937.9,1.0
p[3376],0.88,0.01,0.86,0.9,0.0,0.0,9376.94,6543.63,1.0
p[3377],0.88,0.01,0.86,0.9,0.0,0.0,9375.99,6543.63,1.0
p[3378],0.88,0.01,0.86,0.9,0.0,0.0,9374.84,6543.4,1.0
p[3379],0.93,0.01,0.92,0.95,0.0,0.0,9238.57,6736.57,1.0
p[3380],0.85,0.01,0.84,0.87,0.0,0.0,9066.17,7411.17,1.0
p[3381],0.88,0.01,0.87,0.9,0.0,0.0,9371.1,6616.35,1.0
p[3382],0.85,0.01,0.84,0.87,0.0,0.0,9065.29,7394.14,1.0
p[3383],0.93,0.01,0.92,0.95,0.0,0.0,9237.82,6736.46,1.0
p[3384],0.93,0.01,0.92,0.95,0.0,0.0,9239.14,6707.01,1.0
p[3385],0.9,0.02,0.85,0.93,0.0,0.0,10390.8,5923.75,1.0
p[3386],0.91,0.01,0.89,0.93,0.0,0.0,9794.09,6856.31,1.0
p[3387],0.86,0.02,0.84,0.89,0.0,0.0,10534.82,7131.77,1.0
p[3388],0.85,0.02,0.82,0.88,0.0,0.0,10345.56,7265.06,1.0
p[3389],0.84,0.03,0.79,0.89,0.0,0.0,11503.57,6912.61,1.0
p[3390],0.74,0.02,0.7,0.77,0.0,0.0,9590.92,6401.31,1.0
p[3391],0.88,0.01,0.87,0.9,0.0,0.0,9367.11,6586.99,1.0
p[3392],0.87,0.02,0.82,0.91,0.0,0.0,10394.53,6619.66,1.0
p[3393],0.88,0.01,0.87,0.9,0.0,0.0,9367.97,6474.58,1.0
p[3394],0.86,0.01,0.84,0.88,0.0,0.0,9049.44,7235.9,1.0
p[3395],0.86,0.01,0.84,0.88,0.0,0.0,9047.72,7235.67,1.0
p[3396],0.88,0.01,0.87,0.9,0.0,0.0,9368.42,6489.97,1.0
p[3397],0.89,0.01,0.87,0.92,0.0,0.0,10001.15,6601.41,1.0
p[3398],0.91,0.01,0.89,0.93,0.0,0.0,11549.73,6392.54,1.0
p[3399],0.89,0.01,0.87,0.92,0.0,0.0,10000.31,6601.41,1.0
p[3400],0.88,0.01,0.87,0.9,0.0,0.0,9367.29,6530.79,1.0
p[3401],0.88,0.01,0.87,0.9,0.0,0.0,9367.76,6557.21,1.0
p[3402],0.94,0.01,0.92,0.95,0.0,0.0,9241.24,6677.31,1.0
p[3403],0.88,0.01,0.87,0.9,0.0,0.0,9367.65,6557.21,1.0
p[3404],0.74,0.02,0.7,0.78,0.0,0.0,9599.17,6295.37,1.0
p[3405],0.86,0.01,0.84,0.88,0.0,0.0,9035.62,7185.28,1.0
p[3406],0.88,0.01,0.87,0.9,0.0,0.0,9367.25,6615.39,1.0
p[3407],0.92,0.01,0.9,0.94,0.0,0.0,10970.31,6987.98,1.0
p[3408],0.94,0.01,0.92,0.95,0.0,0.0,9239.93,6738.69,1.0
p[3409],0.86,0.01,0.84,0.88,0.0,0.0,9034.99,7152.18,1.0
p[3410],0.92,0.01,0.9,0.93,0.0,0.0,9769.54,6853.23,1.0
p[3411],0.85,0.02,0.82,0.88,0.0,0.0,10335.29,7232.04,1.0
p[3412],0.9,0.02,0.86,0.94,0.0,0.0,10325.1,5923.58,1.0
p[3413],0.87,0.02,0.84,0.9,0.0,0.0,10528.85,7132.18,1.0
p[3414],0.87,0.02,0.84,0.9,0.0,0.0,10528.85,7132.18,1.0
p[3415],0.89,0.01,0.87,0.9,0.0,0.0,9360.94,6712.46,1.0
p[3416],0.94,0.01,0.92,0.95,0.0,0.0,9238.38,6739.52,1.0
p[3417],0.89,0.01,0.87,0.9,0.0,0.0,9362.31,6712.46,1.0
p[3418],0.75,0.02,0.71,0.78,0.0,0.0,9612.71,6194.17,1.0
p[3419],0.89,0.01,0.87,0.9,0.0,0.0,9362.97,6803.38,1.0
p[3420],0.84,0.03,0.79,0.89,0.0,0.0,11496.29,6699.65,1.0
p[3421],0.89,0.01,0.87,0.9,0.0,0.0,9362.97,6803.38,1.0
p[3422],0.87,0.02,0.83,0.91,0.0,0.0,10387.74,6561.92,1.0
p[3423],0.86,0.01,0.84,0.88,0.0,0.0,9029.95,7152.85,1.0
p[3424],0.86,0.01,0.84,0.88,0.0,0.0,9029.57,7169.79,1.0
p[3425],0.89,0.01,0.87,0.9,0.0,0.0,9363.51,6990.62,1.0
p[3426],0.9,0.01,0.88,0.92,0.0,0.0,9980.58,6515.24,1.0
p[3427],0.89,0.01,0.87,0.9,0.0,0.0,9362.79,6989.41,1.0
p[3428],0.91,0.01,0.89,0.94,0.0,0.0,11515.64,6320.07,1.0
p[3429],0.91,0.01,0.89,0.94,0.0,0.0,11515.64,6320.07,1.0
p[3430],0.89,0.01,0.87,0.9,0.0,0.0,9362.6,6986.28,1.0
p[3431],0.92,0.01,0.9,0.94,0.0,0.0,10938.15,6787.85,1.0
p[3432],0.75,0.02,0.71,0.79,0.0,0.0,9624.23,6295.89,1.0
p[3433],0.92,0.01,0.9,0.94,0.0,0.0,10934.88,6787.85,1.0
p[3434],0.89,0.01,0.87,0.9,0.0,0.0,9363.06,7050.16,1.0
p[3435],0.94,0.01,0.93,0.95,0.0,0.0,9237.16,6769.62,1.0
p[3436],0.86,0.01,0.84,0.88,0.0,0.0,9020.5,7272.0,1.0
p[3437],0.86,0.02,0.82,0.89,0.0,0.0,10327.02,7234.99,1.0
p[3438],0.86,0.01,0.84,0.88,0.0,0.0,9020.85,7287.76,1.0
p[3439],0.9,0.02,0.86,0.94,0.0,0.0,10250.12,6004.91,1.0
p[3440],0.85,0.03,0.8,0.89,0.0,0.0,11477.43,6697.23,1.0
p[3441],0.89,0.01,0.88,0.91,0.0,0.0,9360.56,7133.29,1.0
p[3442],0.92,0.01,0.89,0.94,0.0,0.0,11491.02,6401.14,1.0
p[3443],0.94,0.01,0.93,0.95,0.0,0.0,9238.42,6709.61,1.0
p[3444],0.87,0.01,0.85,0.88,0.0,0.0,9016.12,7321.83,1.0
p[3445],0.89,0.01,0.88,0.91,0.0,0.0,9360.29,7067.22,1.0
p[3446],0.94,0.01,0.93,0.95,0.0,0.0,9237.9,6710.08,1.0
p[3447],0.92,0.01,0.89,0.94,0.0,0.0,11486.21,6374.16,1.0
p[3448],0.87,0.01,0.85,0.89,0.0,0.0,9015.84,7320.84,1.0
p[3449],0.89,0.01,0.88,0.91,0.0,0.0,9359.6,7035.09,1.0
p[3450],0.89,0.01,0.88,0.91,0.0,0.0,9359.56,7002.9,1.0
p[3451],0.88,0.02,0.84,0.92,0.0,0.0,10372.94,6523.61,1.0
p[3452],0.94,0.01,0.93,0.95,0.0,0.0,9238.85,6651.68,1.0
p[3453],0.89,0.01,0.88,0.91,0.0,0.0,9360.95,6970.63,1.0
p[3454],0.94,0.01,0.93,0.95,0.0,0.0,9239.95,6622.6,1.0
p[3455],0.89,0.01,0.88,0.91,0.0,0.0,9361.6,6970.63,1.0
p[3456],0.89,0.01,0.88,0.91,0.0,0.0,9361.33,6970.91,1.0
p[3457],0.92,0.01,0.89,0.94,0.0,0.0,11468.11,6320.43,1.0
p[3458],0.9,0.01,0.88,0.92,0.0,0.0,9956.74,6657.86,1.0
p[3459],0.87,0.01,0.85,0.89,0.0,0.0,9015.04,7282.82,1.0
p[3460],0.86,0.02,0.82,0.89,0.0,0.0,11869.74,6608.48,1.0
p[3461],0.92,0.01,0.91,0.94,0.0,0.0,9714.67,6913.88,1.0
p[3462],0.87,0.01,0.85,0.89,0.0,0.0,9014.09,7314.45,1.0
p[3463],0.89,0.01,0.88,0.91,0.0,0.0,9361.08,7067.97,1.0
p[3464],0.94,0.01,0.93,0.95,0.0,0.0,9241.84,6593.97,1.0
p[3465],0.89,0.01,0.88,0.91,0.0,0.0,9360.37,7133.79,1.0
p[3466],0.86,0.02,0.83,0.89,0.0,0.0,10308.77,7171.64,1.0
p[3467],0.95,0.01,0.93,0.97,0.0,0.0,10505.13,6998.26,1.0
p[3468],0.89,0.01,0.88,0.91,0.0,0.0,9361.84,7133.79,1.0
p[3469],0.76,0.02,0.72,0.8,0.0,0.0,9663.46,6371.44,1.0
p[3470],0.87,0.01,0.85,0.89,0.0,0.0,9011.58,7245.21,1.0
p[3471],0.87,0.01,0.85,0.89,0.0,0.0,9010.67,7211.59,1.0
p[3472],0.94,0.01,0.93,0.95,0.0,0.0,9245.1,6566.03,1.0
p[3473],0.9,0.01,0.88,0.91,0.0,0.0,9364.58,7235.82,1.0
p[3474],0.9,0.01,0.88,0.91,0.0,0.0,9365.67,7271.34,1.0
p[3475],0.91,0.01,0.88,0.93,0.0,0.0,9941.66,6688.9,1.0
p[3476],0.87,0.01,0.85,0.89,0.0,0.0,9009.82,7178.88,1.0
p[3477],0.87,0.01,0.85,0.89,0.0,0.0,9008.86,7178.88,1.0
p[3478],0.76,0.02,0.73,0.8,0.0,0.0,9678.01,6427.8,1.0
p[3479],0.9,0.01,0.88,0.91,0.0,0.0,9369.15,7305.76,1.0
p[3480],0.9,0.01,0.88,0.91,0.0,0.0,9370.03,7305.76,1.0
p[3481],0.83,0.01,0.81,0.85,0.0,0.0,9004.22,7042.7,1.0
p[3482],0.87,0.02,0.84,0.9,0.0,0.0,11720.1,6480.21,1.0
p[3483],0.8,0.01,0.77,0.83,0.0,0.0,9208.7,6965.36,1.0
p[3484],0.65,0.02,0.61,0.7,0.0,0.0,9373.77,7372.97,1.0
p[3485],0.8,0.01,0.78,0.83,0.0,0.0,9196.41,6965.7,1.0
p[3486],0.84,0.01,0.81,0.86,0.0,0.0,8985.58,7009.29,1.0
p[3487],0.87,0.02,0.84,0.91,0.0,0.0,11724.65,6354.89,1.0
p[3488],0.87,0.02,0.84,0.91,0.0,0.0,11724.65,6354.89,1.0
p[3489],0.91,0.01,0.89,0.92,0.0,0.0,9196.58,6906.08,1.0
p[3490],0.84,0.01,0.81,0.86,0.0,0.0,8983.35,7009.01,1.0
p[3491],0.8,0.01,0.78,0.83,0.0,0.0,9181.64,6997.75,1.0
p[3492],0.84,0.01,0.82,0.86,0.0,0.0,8974.79,6975.93,1.0
p[3493],0.8,0.01,0.78,0.83,0.0,0.0,9177.0,6997.75,1.0
p[3494],0.81,0.02,0.77,0.85,0.0,0.0,9872.52,6864.25,1.0
p[3495],0.85,0.02,0.82,0.88,0.0,0.0,10400.08,6483.22,1.0
p[3496],0.84,0.01,0.82,0.86,0.0,0.0,8963.59,6942.59,1.0
p[3497],0.84,0.01,0.82,0.86,0.0,0.0,8961.33,6974.8,1.0
p[3498],0.84,0.01,0.82,0.86,0.0,0.0,8959.24,6975.37,1.0
p[3499],0.81,0.01,0.78,0.83,0.0,0.0,9152.34,7001.22,1.0
p[3500],0.84,0.01,0.82,0.86,0.0,0.0,8949.25,7006.43,1.0
p[3501],0.88,0.02,0.85,0.91,0.0,0.0,11744.11,6242.83,1.0
p[3502],0.81,0.01,0.79,0.83,0.0,0.0,9104.7,7133.79,1.0
p[3503],0.84,0.01,0.82,0.86,0.0,0.0,8910.42,7037.4,1.0
p[3504],0.81,0.01,0.79,0.83,0.0,0.0,9092.34,7133.8,1.0
p[3505],0.86,0.02,0.83,0.89,0.0,0.0,10400.3,6454.86,1.0
p[3506],0.89,0.01,0.86,0.91,0.0,0.0,9344.48,7124.03,1.0
p[3507],0.82,0.01,0.79,0.84,0.0,0.0,9054.75,7034.97,1.0
p[3508],0.91,0.01,0.9,0.93,0.0,0.0,9157.34,6904.25,1.0
p[3509],0.82,0.01,0.79,0.84,0.0,0.0,9037.48,7100.56,1.0
p[3510],0.85,0.01,0.83,0.87,0.0,0.0,8868.49,6962.36,1.0
p[3511],0.82,0.01,0.8,0.84,0.0,0.0,9003.81,7067.34,1.0
p[3512],0.9,0.01,0.87,0.92,0.0,0.0,11629.86,6595.63,1.0
p[3513],0.83,0.01,0.81,0.85,0.0,0.0,8942.62,7066.88,1.0
p[3514],0.81,0.02,0.76,0.86,0.0,0.0,12285.14,5971.13,1.0
p[3515],0.86,0.01,0.84,0.88,0.0,0.0,8813.06,6851.95,1.0
p[3516],0.83,0.01,0.81,0.85,0.0,0.0,8926.35,7001.08,1.0
p[3517],0.87,0.01,0.85,0.9,0.0,0.0,10397.02,6345.93,1.0
p[3518],0.86,0.01,0.84,0.88,0.0,0.0,8808.41,6866.52,1.0
p[3519],0.9,0.01,0.88,0.93,0.0,0.0,11627.43,6629.72,1.0
p[3520],0.86,0.01,0.84,0.88,0.0,0.0,8807.26,6866.52,1.0
p[3521],0.86,0.01,0.84,0.88,0.0,0.0,8807.41,6760.13,1.0
p[3522],0.86,0.01,0.85,0.88,0.0,0.0,8805.27,6760.13,1.0
p[3523],0.86,0.01,0.85,0.88,0.0,0.0,8802.69,6790.97,1.0
p[3524],0.9,0.01,0.88,0.92,0.0,0.0,9307.22,6991.48,1.0
p[3525],0.83,0.01,0.81,0.85,0.0,0.0,8905.05,6936.44,1.0
p[3526],0.83,0.01,0.81,0.85,0.0,0.0,8900.77,6968.08,1.0
p[3527],0.84,0.02,0.81,0.87,0.0,0.0,9845.48,6684.51,1.0
p[3528],0.82,0.02,0.77,0.86,0.0,0.0,12295.29,6219.09,1.0
p[3529],0.86,0.01,0.85,0.88,0.0,0.0,8793.28,6883.39,1.0
p[3530],0.88,0.01,0.85,0.9,0.0,0.0,10389.66,6346.86,1.0
p[3531],0.7,0.02,0.66,0.74,0.0,0.0,9281.33,7059.7,1.0
p[3532],0.86,0.01,0.85,0.88,0.0,0.0,8786.67,6804.6,1.0
p[3533],0.86,0.01,0.85,0.88,0.0,0.0,8783.97,6860.45,1.0
p[3534],0.85,0.03,0.8,0.9,0.0,0.0,10322.04,6551.18,1.0
p[3535],0.83,0.01,0.82,0.86,0.0,0.0,8874.5,6812.5,1.0
p[3536],0.84,0.01,0.82,0.86,0.0,0.0,8873.79,6782.42,1.0
p[3537],0.88,0.01,0.85,0.9,0.0,0.0,10387.23,6482.4,1.0
p[3538],0.87,0.01,0.85,0.88,0.0,0.0,8778.27,6798.16,1.0
p[3539],0.87,0.01,0.85,0.88,0.0,0.0,8777.41,6742.96,1.0
p[3540],0.71,0.02,0.67,0.74,0.0,0.0,9282.02,7011.09,1.0
p[3541],0.87,0.01,0.85,0.88,0.0,0.0,8777.95,6787.65,1.0
p[3542],0.87,0.01,0.85,0.88,0.0,0.0,8777.74,6757.76,1.0
p[3543],0.9,0.01,0.88,0.92,0.0,0.0,9300.1,6926.83,1.0
p[3544],0.87,0.01,0.85,0.88,0.0,0.0,8778.14,6757.76,1.0
p[3545],0.87,0.01,0.85,0.88,0.0,0.0,8777.78,6757.76,1.0
p[3546],0.87,0.01,0.85,0.88,0.0,0.0,8778.23,6729.26,1.0
p[3547],0.94,0.01,0.91,0.96,0.0,0.0,10665.0,6711.75,1.0
p[3548],0.87,0.01,0.85,0.88,0.0,0.0,8777.31,6729.26,1.0
p[3549],0.83,0.02,0.79,0.86,0.0,0.0,9875.74,6867.2,1.0
p[3550],0.84,0.01,0.82,0.86,0.0,0.0,8859.43,6664.23,1.0
p[3551],0.84,0.01,0.82,0.86,0.0,0.0,8853.21,6693.23,1.0
p[3552],0.85,0.02,0.82,0.88,0.0,0.0,9837.88,6867.05,1.0
p[3553],0.85,0.02,0.82,0.88,0.0,0.0,9837.88,6867.05,1.0
p[3554],0.87,0.01,0.85,0.88,0.0,0.0,8771.7,6805.01,1.0
p[3555],0.84,0.01,0.82,0.86,0.0,0.0,8847.51,6752.53,1.0
p[3556],0.82,0.03,0.76,0.87,0.0,0.0,11971.16,6629.69,1.0
p[3557],0.87,0.01,0.85,0.88,0.0,0.0,8768.93,6805.01,1.0
p[3558],0.87,0.01,0.85,0.88,0.0,0.0,8769.22,6866.52,1.0
p[3559],0.88,0.01,0.85,0.9,0.0,0.0,10385.32,6414.33,1.0
p[3560],0.71,0.02,0.67,0.75,0.0,0.0,9274.85,6977.41,1.0
p[3561],0.85,0.03,0.8,0.9,0.0,0.0,10321.07,6601.45,1.0
p[3562],0.84,0.01,0.82,0.86,0.0,0.0,8837.16,6722.95,1.0
p[3563],0.87,0.01,0.85,0.88,0.0,0.0,8769.24,6865.58,1.0
p[3564],0.87,0.01,0.85,0.88,0.0,0.0,8771.0,6773.04,1.0
p[3565],0.87,0.01,0.85,0.88,0.0,0.0,8770.5,6833.88,1.0
p[3566],0.88,0.01,0.86,0.9,0.0,0.0,10381.97,6508.18,1.0
p[3567],0.71,0.02,0.68,0.75,0.0,0.0,9274.44,7093.15,1.0
p[3568],0.87,0.01,0.85,0.89,0.0,0.0,8767.82,6833.32,1.0
p[3569],0.87,0.01,0.86,0.89,0.0,0.0,8768.22,6741.28,1.0
p[3570],0.91,0.01,0.89,0.93,0.0,0.0,9298.41,6775.39,1.0
p[3571],0.87,0.01,0.86,0.89,0.0,0.0,8768.22,6741.28,1.0
p[3572],0.87,0.01,0.86,0.89,0.0,0.0,8767.68,6741.28,1.0
p[3573],0.87,0.01,0.86,0.89,0.0,0.0,8761.49,6740.06,1.0
p[3574],0.84,0.01,0.83,0.86,0.0,0.0,8818.05,6814.1,1.0
p[3575],0.87,0.01,0.86,0.89,0.0,0.0,8761.02,6674.38,1.0
p[3576],0.91,0.01,0.89,0.93,0.0,0.0,9298.14,6775.92,1.0
p[3577],0.84,0.02,0.8,0.87,0.0,0.0,9876.87,6855.54,1.0
p[3578],0.84,0.01,0.83,0.86,0.0,0.0,8815.28,6844.67,1.0
p[3579],0.87,0.01,0.86,0.89,0.0,0.0,8762.37,6645.85,1.0
p[3580],0.84,0.01,0.83,0.86,0.0,0.0,8813.68,6844.67,1.0
p[3581],0.87,0.01,0.86,0.89,0.0,0.0,8762.69,6623.25,1.0
p[3582],0.84,0.01,0.83,0.86,0.0,0.0,8809.58,6825.21,1.0
p[3583],0.91,0.01,0.89,0.93,0.0,0.0,9297.46,6746.1,1.0
p[3584],0.87,0.01,0.86,0.89,0.0,0.0,8762.55,6596.74,1.0
p[3585],0.83,0.02,0.79,0.87,0.0,0.0,12303.58,6049.51,1.0
p[3586],0.87,0.01,0.86,0.89,0.0,0.0,8761.89,6626.09,1.0
p[3587],0.72,0.02,0.68,0.76,0.0,0.0,9273.29,6993.98,1.0
p[3588],0.88,0.01,0.86,0.91,0.0,0.0,10379.75,6428.32,1.0
p[3589],0.85,0.01,0.83,0.86,0.0,0.0,8800.52,6705.08,1.0
p[3590],0.87,0.01,0.86,0.89,0.0,0.0,8763.18,6598.08,1.0
p[3591],0.85,0.02,0.82,0.88,0.0,0.0,9839.0,6570.27,1.0
p[3592],0.87,0.01,0.86,0.89,0.0,0.0,8763.55,6598.04,1.0
p[3593],0.86,0.02,0.81,0.9,0.0,0.0,10321.75,6512.86,1.0
p[3594],0.85,0.01,0.83,0.87,0.0,0.0,8798.23,6783.4,1.0
p[3595],0.82,0.03,0.77,0.88,0.0,0.0,11969.05,6488.53,1.0
p[3596],0.83,0.02,0.8,0.86,0.0,0.0,9009.74,6995.77,1.0
p[3597],0.83,0.02,0.79,0.87,0.0,0.0,12307.45,6026.56,1.0
p[3598],0.87,0.01,0.86,0.89,0.0,0.0,8764.65,6540.84,1.0
p[3599],0.85,0.01,0.83,0.87,0.0,0.0,8794.3,6813.73,1.0
p[3600],0.72,0.02,0.68,0.76,0.0,0.0,9270.23,7026.78,1.0
p[3601],0.87,0.01,0.86,0.89,0.0,0.0,8765.76,6510.8,1.0
p[3602],0.88,0.01,0.86,0.89,0.0,0.0,8766.11,6436.52,1.0
p[3603],0.88,0.01,0.86,0.89,0.0,0.0,8766.11,6436.52,1.0
p[3604],0.91,0.01,0.89,0.93,0.0,0.0,11616.24,6451.6,1.0
p[3605],0.88,0.01,0.86,0.89,0.0,0.0,8766.03,6436.52,1.0
p[3606],0.88,0.01,0.86,0.89,0.0,0.0,8765.86,6545.86,1.0
p[3607],0.85,0.01,0.83,0.87,0.0,0.0,8785.82,6782.91,1.0
p[3608],0.84,0.02,0.81,0.87,0.0,0.0,9877.33,6777.85,1.0
p[3609],0.88,0.01,0.86,0.89,0.0,0.0,8765.21,6433.61,1.0
p[3610],0.89,0.01,0.86,0.91,0.0,0.0,10375.83,6269.55,1.0
p[3611],0.85,0.01,0.83,0.87,0.0,0.0,8779.86,6811.69,1.0
p[3612],0.88,0.01,0.86,0.89,0.0,0.0,8765.59,6433.61,1.0
p[3613],0.83,0.02,0.79,0.88,0.0,0.0,12302.89,6025.94,1.0
p[3614],0.88,0.01,0.86,0.89,0.0,0.0,8766.42,6355.0,1.0
p[3615],0.86,0.02,0.83,0.89,0.0,0.0,9838.84,6485.97,1.0
p[3616],0.86,0.02,0.83,0.89,0.0,0.0,9838.84,6485.97,1.0
p[3617],0.85,0.01,0.83,0.87,0.0,0.0,8776.54,6751.34,1.0
p[3618],0.83,0.03,0.78,0.88,0.0,0.0,11962.79,6516.73,1.0
p[3619],0.88,0.01,0.86,0.89,0.0,0.0,8767.55,6392.24,1.0
p[3620],0.89,0.01,0.86,0.91,0.0,0.0,10376.49,6242.86,1.0
p[3621],0.73,0.02,0.69,0.76,0.0,0.0,9054.38,6989.56,1.0
p[3622],0.88,0.01,0.86,0.89,0.0,0.0,8764.88,6338.86,1.0
p[3623],0.85,0.01,0.83,0.87,0.0,0.0,8764.89,6781.49,1.0
p[3624],0.86,0.02,0.81,0.91,0.0,0.0,10319.63,6597.37,1.0
p[3625],0.88,0.01,0.86,0.89,0.0,0.0,8765.89,6285.93,1.0
p[3626],0.85,0.01,0.83,0.87,0.0,0.0,8759.26,6781.25,1.0
p[3627],0.94,0.01,0.92,0.97,0.0,0.0,10621.04,6865.68,1.0
p[3628],0.88,0.01,0.87,0.89,0.0,0.0,8765.82,6259.85,1.0
p[3629],0.86,0.02,0.83,0.89,0.0,0.0,9840.12,6456.86,1.0
p[3630],0.73,0.02,0.69,0.77,0.0,0.0,9053.97,6990.1,1.0
p[3631],0.88,0.01,0.87,0.89,0.0,0.0,8766.38,6285.73,1.0
p[3632],0.88,0.01,0.87,0.89,0.0,0.0,8767.83,6285.73,1.0
p[3633],0.88,0.01,0.87,0.89,0.0,0.0,8767.83,6285.73,1.0
p[3634],0.88,0.01,0.87,0.89,0.0,0.0,8768.04,6285.73,1.0
p[3635],0.93,0.01,0.92,0.94,0.0,0.0,9000.48,6435.83,1.0
p[3636],0.88,0.01,0.87,0.89,0.0,0.0,8768.86,6208.92,1.0
p[3637],0.88,0.01,0.87,0.89,0.0,0.0,8769.17,6209.65,1.0
p[3638],0.85,0.01,0.84,0.87,0.0,0.0,8751.03,6720.99,1.0
p[3639],0.85,0.02,0.81,0.88,0.0,0.0,9883.12,6717.94,1.0
p[3640],0.85,0.01,0.84,0.87,0.0,0.0,8748.32,6720.99,1.0
p[3641],0.88,0.01,0.87,0.89,0.0,0.0,8775.46,6210.18,1.0
p[3642],0.94,0.01,0.92,0.97,0.0,0.0,10611.25,6804.12,1.0
p[3643],0.88,0.01,0.87,0.89,0.0,0.0,8773.98,6261.81,1.0
p[3644],0.89,0.01,0.87,0.91,0.0,0.0,10372.28,6397.14,1.0
p[3645],0.86,0.02,0.83,0.89,0.0,0.0,9837.28,6402.04,1.0
p[3646],0.85,0.01,0.84,0.87,0.0,0.0,8743.56,6810.55,1.0
p[3647],0.91,0.01,0.9,0.93,0.0,0.0,9306.39,6657.36,1.0
p[3648],0.92,0.01,0.89,0.94,0.0,0.0,11601.29,6845.59,1.0
p[3649],0.84,0.02,0.8,0.88,0.0,0.0,12295.42,6146.12,1.0
p[3650],0.88,0.01,0.87,0.9,0.0,0.0,8777.44,6211.31,1.0
p[3651],0.88,0.01,0.87,0.9,0.0,0.0,8777.13,6211.31,1.0
p[3652],0.89,0.01,0.87,0.91,0.0,0.0,10371.39,6397.14,1.0
p[3653],0.74,0.02,0.7,0.77,0.0,0.0,9057.78,7088.48,1.0
p[3654],0.88,0.01,0.87,0.9,0.0,0.0,8778.76,6210.1,1.0
p[3655],0.87,0.02,0.82,0.91,0.0,0.0,10315.78,6590.02,1.0
p[3656],0.88,0.01,0.87,0.9,0.0,0.0,8778.38,6146.92,1.0
p[3657],0.86,0.01,0.84,0.87,0.0,0.0,8734.95,6809.59,1.0
p[3658],0.86,0.01,0.84,0.87,0.0,0.0,8733.77,6778.67,1.0
p[3659],0.89,0.01,0.87,0.92,0.0,0.0,10370.79,6451.5,1.0
p[3660],0.88,0.01,0.87,0.9,0.0,0.0,8782.07,6147.07,1.0
p[3661],0.88,0.01,0.87,0.9,0.0,0.0,8782.01,6210.3,1.0
p[3662],0.88,0.01,0.87,0.9,0.0,0.0,8782.88,6210.3,1.0
p[3663],0.86,0.01,0.84,0.87,0.0,0.0,8732.3,6778.67,1.0
p[3664],0.74,0.02,0.7,0.77,0.0,0.0,9061.31,6959.77,1.0
p[3665],0.88,0.01,0.87,0.9,0.0,0.0,8783.7,6198.02,1.0
p[3666],0.88,0.01,0.87,0.9,0.0,0.0,8784.5,6172.85,1.0
p[3667],0.88,0.01,0.87,0.9,0.0,0.0,8785.09,6160.35,1.0
p[3668],0.88,0.01,0.87,0.9,0.0,0.0,8787.25,6110.57,1.0
p[3669],0.95,0.01,0.92,0.97,0.0,0.0,10593.84,6835.12,1.0
p[3670],0.86,0.01,0.84,0.88,0.0,0.0,8728.23,6692.09,1.0
p[3671],0.89,0.01,0.87,0.92,0.0,0.0,10371.19,6424.56,1.0
p[3672],0.88,0.01,0.87,0.9,0.0,0.0,8787.19,6161.01,1.0
p[3673],0.86,0.01,0.84,0.88,0.0,0.0,8726.58,6648.19,1.0
p[3674],0.84,0.02,0.82,0.87,0.0,0.0,9022.93,6932.06,1.0
p[3675],0.88,0.01,0.87,0.9,0.0,0.0,8789.27,6160.49,1.0
