weekday_cat,hour_3h_bin,train_cat,event_type,y,n,days_until_xmas_z_mean
4,15-17,HighSpeed,departure_only,2,18,-0.05905540082969575
4,15-17,Regional,arrival_only,16,132,0.0336249648191164
4,15-17,Regional,both,0,59,0.48432627414988877
4,15-17,Regional,departure_only,17,132,-0.0018696433017052635
4,15-17,S-Bahn,arrival_only,4,80,0.04723123126543138
4,15-17,S-Bahn,departure_only,4,81,0.04216996307042532
4,18-20,HighSpeed,arrival_only,1,26,-0.002324702380177346
4,18-20,HighSpeed,both,7,56,-0.13962252719917984
4,18-20,HighSpeed,departure_only,1,9,0.07109149561331704
4,18-20,Regional,arrival_only,13,130,0.003682077455654023
4,18-20,Regional,both,0,57,0.4866482526769719
4,18-20,Regional,departure_only,11,121,0.0502966746940478
4,18-20,S-Bahn,arrival_only,4,71,-0.021783284946954983
4,18-20,S-Bahn,departure_only,4,64,-0.00889461782561789
4,21-23,HighSpeed,arrival_only,1,36,0.07109149561331705
4,21-23,HighSpeed,both,0,44,0.1519403252218553
4,21-23,Regional,arrival_only,12,114,0.014009523489188637
4,21-23,Regional,both,0,27,0.504914483756693
4,21-23,Regional,departure_only,15,104,-0.00983317717496654
4,21-23,S-Bahn,arrival_only,3,60,-0.024349561778225663
4,21-23,S-Bahn,departure_only,2,55,-0.05037894106682822
5,00-02,HighSpeed,arrival_only,1,10,0.15041912773096294
5,00-02,HighSpeed,both,0,13,0.0062564116710103115
5,00-02,Regional,arrival_only,6,62,-0.08384528586646009
5,00-02,Regional,both,0,5,0.3065954034625783
5,00-02,Regional,departure_only,4,49,-0.1714952365321626
5,00-02,S-Bahn,arrival_only,0,34,-0.19868078272794196
5,00-02,S-Bahn,departure_only,0,27,-0.2139921823094729
5,03-05,HighSpeed,both,0,13,-0.11387918504561689
5,03-05,HighSpeed,departure_only,0,12,-0.08384528586646008
5,03-05,Regional,arrival_only,5,22,-0.15483450210810343
5,03-05,Regional,both,1,9,0.39336000109125346
5,03-05,Regional,departure_only,5,34,-0.014943987749570967
5,03-05,S-Bahn,arrival_only,0,28,-0.16751114786553975
5,03-05,S-Bahn,departure_only,6,39,-0.1539243839511593
