obs_id,pareto_shape
257,-0.012758968779781436
258,-0.0649304841652217
259,0.004058261084602156
260,-0.05757136307558488
261,-0.12480510629461963
262,-0.07831018970353387
263,0.03764031855346968
264,-0.11299471352033279
265,-0.06016984257399059
266,-0.15831789931660867
267,-0.16810716569753636
268,-0.07598637815305685
269,-0.043597180672318485
270,-0.003108914824902335
271,-0.12110906928554765
272,-0.03161704920966274
273,0.006331552212054152
274,-0.13429562515165525
275,-0.04256814859536118
276,0.07914076879264632
277,-0.02297480871985168
278,-0.03132115845040319
279,-0.03132115845040319
280,0.022317932532409778
281,-0.007871449311478172
282,-0.026275846551872005
283,-0.11189105416564629
284,-0.07374825146030918
285,-0.027849393710021902
286,-0.1476782142802321
287,-0.031811085100317264
288,-0.053575506956205624
289,-0.15639080607742561
290,-0.11770734697139497
291,-0.028881801533096593
292,-0.028881801533096593
293,-0.19463893002730384
294,-0.04370878312781179
295,-0.017495324610958103
296,-0.05894004377946012
297,-0.1359940062776456
298,0.03850264783907762
299,-0.05799317461527485
300,0.0147865036660174
301,-0.010448817687224764
302,-0.048814158150060655
303,0.007820237432348054
304,-0.0025177203538057366
305,-0.09720111503427259
306,-0.06099326081783126
307,-0.17621617796674532
308,0.000663307069438682
309,-0.035534330054696625
310,0.06234252330172763
311,-0.1285107305264633
312,-0.10349209799196596
313,-0.16709698874226106
314,-0.05261064034616636
315,-0.11912571843430873
316,0.011634752067427765
317,0.06392197941046307
318,-0.019778396144319175
319,-0.07557038284830334
320,-0.15281169409308532
321,-0.029775153413326445
322,-0.03513276097773003
323,-0.060600261462233046
324,0.006993755856708347
325,-0.03313399710899948
326,0.06182855262045009
327,0.055063908066081226
328,0.055063908066081226
329,-0.11662508408844378
330,-0.0590895899033956
331,-0.009384665989267169
332,-0.039567736825743584
333,-0.06284999666078567
334,-0.11559580915447461
335,-0.025710725746140254
336,-0.19037186807233047
337,-0.018675017456522877
338,0.006525923586714882
339,-0.15438610272140746
340,-0.15438610272140746
341,-0.10175899338301696
342,0.047710176217531555
343,0.013579593087975747
344,-0.08085483716488262
345,-0.03403705898490087
346,-0.09464123127947778
347,-0.05579044751140917
348,-0.08717713747066824
349,-0.03298177465483545
350,-0.0627474587029889
